catalog_number,collector,collector_number,locality,country,province,event_date
BR0000001,Louis,1204,Yangambi,Democratic Republic of the Congo,Tshopo,1938-04-12
BR0000002,Louis,1311,Env. Yangambi,Democratic Republic of the Congo,Tshopo,1938-05-03
BR0000003,Germain,4421,yangambi,Democratic Republic of the Congo,Tshopo,1955-11-20
BR0000004,Germain,4422,Yangambi,Democratic Republic of the Congo,Tshopo,1955-11-21
BR0000005,Breteler,8891,Reserve de faune de la Lope,Gabon,Ogooue-Ivindo,1987-02-14
BR0000006,Breteler,8902,Lope Reserve,Gabon,Ogooue-Ivindo,1987-02-18
BR0000007,Wieringa,2210,Makokou; route de Batouala,Gabon,Ogooue-Ivindo,1994-08-02
BR0000008,Wieringa,2245,5 km N of Makokou,Gabon,Ogooue-Ivindo,1994-08-05
BR0000009,Sosef,1120,Monts de Cristal,Gabon,Estuaire,2001-03-11
BR0000010,Sosef,1131,Monts de Cristal,Gabon,Estuaire,2001-03-12
BR0000011,Sosef,1140,Monts de Cristal,Gabon,Estuaire,2001-03-15
BR0000012,Letouzey,9987,Kribi,Cameroon,Sud,1969-06-30
BR0000013,Letouzey,9990,Environs de Kribi,Cameroon,Sud,1969-07-02
BR0000014,Letouzey,10002,Mont Cameroun; versant sud,Cameroon,Sud-Ouest,1970-01-19
BR0000015,Achoundong,331,Bouamir Research Station; Dja Reserve,Cameroon,Est,1998-09-08
BR0000016,Achoundong,338,Bouamir Research Station; Dja Reserve,Cameroon,Est,1998-09-10
BR0000017,Halle,762,Ipassa,Gabon,Ogooue-Ivindo,1966-04-22
BR0000018,Halle,770,Ipassa,Gabon,Ogooue-Ivindo,1966-04-25
BR0000019,Bequaert,201,Kisangani,Democratic Republic of the Congo,Tshopo,1915-02-08
BR0000020,Bequaert,214,Irangi,Democratic Republic of the Congo,Sud-Kivu,1915-07-30
BR0000021,Lebrun,5540,Irangi,Democratic Republic of the Congo,Sud-Kivu,1937-10-04
BR0000022,Lebrun,5551,Kisangani,Democratic Republic of the Congo,Tshopo,1937-10-18
BR0000023,Anon,,,Democratic Republic of the Congo,,1930-01-01
BR0000024,Dauby,1502,Ca. Kribi,Cameroon,Sud,2008-11-27
